Genotype	SeedYield_India_2016_1	SeedYield_India_2017_1	SeedYield_India_2018_1	SeedYield_India_2021_1	SeedYield_India_2018_2	SeedYield_India_2018_3	SeedYield_India_2018_4
VI001733BG	4.81	13.94666667	22.15	7.035	2.4	22.15833333	4.31
VI001743BG	NA	14.19	18.9	4.3	2.75	18.8725	2.78
VI001756BG	2.835	9.3275	20.65	5.89	3.53	20.6175	2.42
VI001762A-GM	2.1775	8.2025	6.7	5.035	NA	6.6825	2.75
VI001806AG	1.25	8.12	3.8	6.45	1.35	3.7925	3.51
VI001806BG	2.165	11.0675	16.7	4.55	2.765	16.733	NA
VI001820BG	NA	14.0025	5.3	3.685	1.765	14.9	2.78
VI001859BG	3.25333333333333	12.75	19.95	4.84	1.85	19.94125	NA
VI001974BG	5.18666666666667	12.08	14.1	9.45	2.765	14.09375	1.78
VI001993BG	5.8725	15.9825	24	3.8	3.08	24.005	1.85
VI002009BG	4.33666666666667	11.2775	4.5	5.905	4.73	4.466666667	2.78
VI002012BG	4.07333333333333	15.67	22	6.985	4.63	21.995	3.06
VI002051BG	NA	13.055	16.2	4.55	2.965	16.2375	4.71
VI002063BG	3.11	16.515	10.6	2.75	3.5	10.604	4.61
VI002173AG	3.86	11.7125	16.75	9.895	2	16.7625	2.98
VI002173BG	7.74	6.6375	3	8.475	2.615	3.01	3.5
VI002176AG	7.99666666666667	11.4575	12.95	4.425	7.28	12.9125	2.63
VI002176BG	3.89333333333333	13.7475	20.45	6.72	5.98	20.442	1.99
VI002190BG	6.33666666666667	12.0075	20.7	7.565	4.715	20.73	5.96
VI002195AG	3.1	14.8675	18.6	8.83	2.2	18.6275	7.26
VI002197BG	6.44	10.1225	17.9	6.835	2.58	12.32	4.73
VI002206AG	14.28	17.135	16.15	4.79	3.115	16.16	2.2
VI002239AG	2.62	8.115	13.95	3.785	1.3	13.975	2.56
VI002274B-BL	6.52333333333333	15.91	22.55	NA	1.16	22.545	3.13
VI002284BG	NA	9.9725	10.4	4.4	0.7	13.92	1.3
VI002402BG	4.09	9.715	17.75	6.765	4.08	17.7145	1.16
VI002432AG	6.79	14.3025	15.85	5.41	3.8	15.8375	0.7
VI002437BG	5.28666666666667	13.985	13.6	8.89	1.9	13.59625	4.06
VI002456AG	5.21	13.195	14.8	5.62	1.93	14.585	3.8
VI002469AG	7.92333333333333	11.3125	13.1	5.735	2.365	13.056	1.9
VI002487AG	4.82	11.7675	19	4.29	1.2	18.9675	1.93
VI002523AG	2.75	10.755	20.55	2.08	5.5	20.51625	2.38
VI002529B-BL	NA	8.6675	17.9	6.405	0.65	16.82	1.2
VI002532AG	4.01	8.4725	7.65	6.37	1	7.628	5.5
VI002537AG	4.35	20.24333333	14.4	1.79	1.43	14.395	0.65
VI002569BG	2.555	17.73333333	19.35	1.87	1.18	19.353	0.98
VI002587AG	6.34	12.17	28.2	4.16	3	28.17291667	1
VI002611AG	5.9	14.42666667	21.45	10.82	3.38	21.448	1.41
VI002646AG	4.55333333333333	14.855	16.85	2.085	1.2	16.85	1.16
VI002647AG	6.8	12.29	21	4.065	1.1	21.025	3
VI002672AG	5.11	13.195	19.75	6.24	3.48	19.73533333	3.36
VI002739AG	3.07333333333333	10.0825	13.95	6.515	3.1	13.97125	1.2
