Genotype	PodPerPlant_India_2018	PodPerPlant_India_2021	PodPerPlant_India_2018.1	PodPerPlant_India_2019	SW_India_2021	SW_India_2018	SeedPerPod_India_2017	SeedPerPod_India_2018	SeedPerPod_India_2018.1	SeedPerPod_India_2019
VI001490AG	134.25	29.5	10.15	NA	3.48	2.15	11.75	13	12.5	8.5
VI001509AG	45.75	36.5	7.15	10.7	3.275	2.65	11.5	10.5	11.3	8
VI001514AG	104.7	37.5	17.45	3.45	2.31	2.85	11	12.5	11.5	8
VI001520A-BLM	NA	38.5	8.55	7.4	2.67	3.25	10.66666667	NA	12.15	6
VI001533BG	34	36.5	0.35	NA	3.2	1.55	13	15	6.5	NA
VI001535BG	80.9	20.5	13.9	4.625	3.23	4.15	11	12.5	12.65	7.5
VI001539AG	91.9	25.5	5.85	6.5	3.71	2.35	10.66666667	13	10.95	6
VI001548AG	94.25	23	13.75	8	3.32	3.25	12.25	12.5	7	8.5
VI001556BG	NA	12.5	0.3	9	3.15	1.55	11.5	NA	5.8	8
VI001557BG	111.95	22	18.15	7.1	3.35	3.6	11.75	11	12.15	7.5
VI001562AG	55.25	32.5	14.3	5.865	2.84	2.55	11	12	12.15	7
VI001576BG	86.25	10.5	9.85	7.45	3.02	2.75	11.5	15	12	6
VI001579BG	84.7	25.5	7.5	9.8	3.86	3	11.75	14	12.3	6
VI001605BG	78	15.5	19.25	6.3	4.465	2.65	11.25	12.5	11.85	7
VI001612AG	69	26.5	7.85	NA	2.62	2.35	11.75	12	10.95	NA
VI001628AG	84.25	29	7.05	4.6	3.62	3.65	12	12	9.8	6
VI001651BG	91.35	53.5	15.3	7.6	3.18	2.95	11.75	12	10.15	6.5
VI001652BG	79.65	17.5	15.6	8.1	2.8	2.85	11.33333333	9.5	6.65	9
VI001654BG	85.5	28.5	3.85	7.85	3.09	2.75	12.66666667	12	6.5	6
VI001678BG	96.5	15.5	3.9	8	3.78	3.35	11.33333333	12	8.95	7
VI001692AG	92	23	14.65	7.175	3.04	2.65	11.25	14	6.8	7.5
VI001698BG	60.5	20.5	14.85	8.1	4.13	3.55	12	12	13	8.5
VI001728AG	NA	35	7.85	10.7	3.12	2.65	11.25	NA	11.3	7.5
VI001733BG	90.5	18	8.2	9.7	5.86	4.5	12.33333333	12	12.3	6.5
VI001743BG	85.1	27.5	10.85	2	3.63	2.65	11.33333333	12	10.15	6
VI001756BG	107.7	29.5	1.75	7.4	3.57	3.25	12.25	12.5	10.8	7
VI001762A-GM	40.5	11	NA	5.6	3.35	NA	11.25	9	10.7	7.5
VI001806AG	38.75	15	8.75	4.6	2.995	2.85	9.5	12.5	9.35	NA
VI001806BG	82.1	18.5	12.85	5	3.05	3.8	11.75	13.5	11.8	8
VI001820BG	48.05	15.5	9.35	5.2	2.83	2.6	11.5	14	11	7
VI001859BG	69.25	13.5	4.25	6.2	4.41	5.3	12	12.5	10.15	7.5
VI001974BG	79.6	17.5	8.85	3.75	3.49	3.35	12	14	8.8	7
VI001993BG	101.05	23	10	9.2	4.2	3.1	12	12.5	11.3	8
VI002009BG	31.3	23.5	20.05	8.4	3.82	3.65	11	13	11.65	8.5
VI002012BG	79.85	19	7	6.8	4.07	2.95	11.25	14	10.85	8.5
VI002051BG	98.8	22.5	11.7	5.6	3.78	3.15	11.25	13	10.85	7.5
VI002063BG	61.55	2.5	5.75	2.8	3.15	5.6	13.5	19	13.65	7
VI002173AG	66.9	49	10.9	4	3.15	2.7	10.75	11	11	7
VI002173BG	20	15	5.7	5.935	4.39	2.6	10.25	13	12.15	7.5
VI002176AG	70	14.5	27.2	3.2	2.55	2.9	12	11	11.8	6
VI002176BG	88	17.5	14.75	6.8	3.59	3.4	10.75	14	9.95	6.5
VI002190BG	93.3	19	11.55	1	4.755	3.7	11.75	13	13.15	5
VI002195AG	57.65	22	5.85	2.9	5.29	5.5	11.25	12	10	6
VI002197BG	81.8	15	11.75	7.4	4.51	2.7	12	10.9	6.3	8
VI002206AG	47.6	22	8.55	2.35	5.1	5	11.5	12.5	12.15	5.5
VI002239AG	62.2	19	6.05	2.625	3.72	2.8	11.5	12.5	7.45	7
VI002274B-BL	83.5	NA	6.6	1	NA	3.5	8	7	7.8	7
VI002284BG	44.95	11.5	0.85	4.2	3.52	2.6	10.25	15	12.15	7.5
VI002402BG	66.85	9.5	8.05	5.2	4.87	3.5	11.5	13.5	12.45	8.5
VI002432AG	40.5	11	7.8	7	7.115	4.3	11	11.5	11.45	9
VI002437BG	70	16.5	7.1	4.035	3.02	2.8	12	12	9.65	7
VI002456AG	71.3	34.5	4.1	8.8	5.22	5	11.33333333	14.5	12.15	7
VI002469AG	83.5	28.5	13.25	5.465	5.02	3.25	12.5	12.5	11.5	7
VI002487AG	84.75	32.5	3.8	3	4.02	2.8	12	14.5	9.8	7
VI002523AG	75.5	25.5	15.1	5.85	5.82	4.2	10.5	13.5	11.8	7.5
VI002529B-BL	130.7	24	2.05	4.8	5.135	1.1	11	8.5	8.35	9
VI002532AG	35	25	4.7	5.125	3.56	3.7	11.75	13	13	8
VI002537AG	74.9	10	5.15	6.7	5	3.7	10.33333333	13	10	9
VI002569BG	71	7.5	5.55	8	3.15	4.1	11.66666667	12	11.8	7
VI002587AG	64.3	11.5	5.75	6.4	6.48	4.5	11	14	11.5	7.5
VI002611AG	73	18.5	8	5.2	5.915	4.6	10	13.5	11.15	8
VI002646AG	61	10.5	4.05	3	3.38	5.6	11.75	14	12	7.5
VI002647AG	56.9	15	2.85	NA	3.05	5.9	11.75	10	9.45	NA
VI002672AG	74.15	20.5	10.9	2.925	5.39	6.5	12.5	12	10.65	5
VI002739AG	52.15	19	12.9	7.1	7.26	3.4	10	12	12.5	8
VI002802A-BR	22.5	19	8.25	7.3	3.47	3.25	11	14	12.15	7.5
VI002859BG	91.7	40	5.3	4.335	3.26	2.8	11.5	13.5	12.5	8.5
VI002860AG	93.3	15.5	15.3	3.4	3.19	4	10	11.5	8.5	6.5
VI002872BG	102.8	30.5	24.8	6.7	4.83	2.85	11	14	9.65	7.5
VI002877BG	82.7	24.5	7.9	10.15	3.68	3.6	11.25	12	10.35	7
VI002894B-BR	63.8	17.5	10.9	4.825	4.35	4	11.25	14.5	10.15	7.5
VI002926AG	56.1	10.5	24.25	11.3	3.2	3.35	12.66666667	13	10.15	8.5
VI002934AG	52.7	31.5	7.15	6.3	4.29	2.55	12	13	10.65	6
VI002986AG	68.9	23.5	11.05	6.5	2.93	3.25	11.5	12.5	9.3	7
VI002993BG	97.3	36	9.15	6.7	3.17	2.25	12.25	13.5	11.65	8
VI002999AG	NA	18	5.15	NA	3.245	4.65	10.66666667	NA	11.8	NA
VI003019A-BLM	NA	17.5	4.6	4	4.44	3	12	NA	10.95	7
VI003019BG	50.55	38	2.6	6.25	3.815	4.1	12.5	15	11.65	8
VI003034BG	104.85	19.5	4.45	7.8	3.89	3.65	12.5	14	12.15	7.5
VI003035AG	110	18	7.35	8	3.49	2.25	10.66666667	14.5	10.3	8
VI003057BG	72.4	25	4.35	NA	3.53	2.35	12.25	11.5	11.5	NA
VI003062BG	73.65	32.5	12.35	2	3.34	2.05	11.66666667	12.5	10.8	5
VI003068A-BR	72.9	19	16.25	2.335	3.21	2.25	11	11.5	10.3	6.5
VI003070AG	79	25.5	8.85	4	3.09	2.7	12.25	12	12	8
VI003083BG	79.4	16	5.85	7.3	3.49	2.75	11.5	13.5	12.15	8.5
VI003114AG	93.2	23	9.25	9.5	3.27	3.25	10.66666667	13.5	8.65	6
VI003135B-BL	78.1	23	14.55	4.9	2.31	2.95	10.25	12	6.65	8.5
VI003159AG	83.6	34	2.55	NA	3.365	1.25	11	13	8.65	5
VI003172BG	105	39.5	11.75	6.2	3.18	2.75	11.5	12.5	11.85	8.5
VI003181B-GM	56.1	19.5	6.55	2	3.25	2.05	10.25	15	8.65	5.5
VI003183AG	95	34	12.85	7.8	2.02	3.95	10	11.7	10.45	8
VI003187BG	105.2	24	5.25	15.1	3.63	3.85	10.5	11	12.15	6.5
VI003212B-BLM	70.7	34.5	9.75	3.33	3.17	2.55	11	11.5	12	7
VI003220AG	69	18	13.95	5	4.84	1.95	12	13	11.35	8.5
VI003232AG	35.35	19.5	4.75	9.125	3.23	1.95	11	11	12.45	8
VI003235AG	44.8	26.5	1.75	NA	3.15	1.55	11	14.5	11.5	NA
VI003242AG	50.9	30.5	7.75	5.6	4.14	2.75	11.25	12	10.15	6.5
VI003251A-BL	63.45	37.5	16.15	6.2	2.64	3.05	10	13	10.3	7
VI003251A-BLM	106.4	26	13.35	6.3	3.13	2.05	10.75	13	10	7.5
VI003252BG	NA	12.5	5.35	7.5	1.81	3.25	12	NA	10.45	8
VI003255AG	109.8	18	10.35	4.2	3.14	2.45	10.25	11.5	11.35	6.5
VI003276BG	NA	15.5	15.75	8.7	3.57	2.65	11	NA	10	7.5
VI003329AG	56.8	18	6.75	7.035	3.15	2.15	10.5	11.6	11.15	7.5
VI003332AG	76.25	12.5	6.75	5.9	3.23	2.75	10.66666667	12.5	12	7
VI003337BG	47.3	24	NA	8.4	2.755	NA	12.66666667	12	10	8
VI003364AG	87.65	19.5	11.05	4.2	5.3	4.45	13	12.5	11.5	7
VI003379BG	67.85	29.5	1.75	7.2	4.06	4.05	10.75	13	11.15	7.5
VI003382BG	87.15	17.5	14.35	3.65	3.5	2.75	10.75	11.5	10.15	6
VI003407AG	76.2	20	9.25	4.1	3.15	2.25	11.5	11.5	11.95	7.5
VI003413BG	55.4	14.5	6.2	4.9	2.97	3.1	10.75	12.5	11.65	7.5
VI003440AG	100	31.5	12.45	2.33	4.67	2.9	10.75	14.5	10.5	8
VI003455AG	46.1	22	8.45	6.6	4.01	2.8	11.5	13	7.5	7
VI003456AG	43.8	14	2.45	3.4	3.03	2.5	12	10	10.8	8
VI003465BG	95.9	22	10.05	1	2.81	2.5	10.75	14	12.3	7.5
VI003470BG	72.4	31	19.75	4.6	2.03	2.1	12	13.1	10.65	6.5
VI003480BG	69.1	18.5	9.85	6	4.65	4	11.25	13	12	7.5
VI003490AG	76.6	30.5	12.55	5.665	2.81	2.5	10.33333333	11.5	9.8	7
VI003493BG	85.8	17	2.45	1	2.81	1.85	10.75	12	9.8	8
VI003514BG	43.6	48	13.9	3.8	3.13	2.5	11.25	14.5	10.95	8
VI003517BG	30.7	29	3.6	4.5	2.88	4.2	12.25	10	10.5	7.5
VI003534AG	46.65	26.5	0.55	NA	3.85	2.9	11.75	14	9.5	NA
VI003534BG	68	16	22.6	6.9	3.65	NA	12	13.75	11.5	8.5
VI003548AG	NA	23.5	9.2	7.9	2.34	2.2	11.5	NA	11.15	7.5
VI003554AG	36.1	29.5	2.6	2	3.14	1.4	11.33333333	12	11.65	5
VI003560BG	NA	22.5	5.75	9.325	3.66	3.35	14	NA	12.3	8
VI003563A-BR	102.4	27.5	14.6	6.6	3.02	3	10.75	14	8.65	7.5
VI003577AG	74.4	21.5	3	4.1	2.91	1.5	10.5	11	9.15	6.5
VI003602AG	68.6	18.5	8.75	5.9	3.98	2.9	12	12.5	8.15	8.5
VI003642AG	85.3	37	6.4	4.2	3.945	0.2	11.66666667	10	11.8	7.5
VI003648BG	69.65	17.5	3.7	4.4	3.865	3.7	11	12.75	10.95	7
VI003658BG	NA	47	0.7	NA	3.525	3.3	10.5	NA	11	NA
