Genotype	DM_India_2017	DM_India_2018	DM_India_2021	DM_India_2018	DM_India_2019	DM_Bangladesh_2017	DM_Bangladesh_2019	DM_Bangladesh_2016	DM_Myanmar_2016	DF_India_2017	DF_India_2018	DF_India_2019	DF_India_2021	DF_India_2018	DF_India_2019	DF_Bangladesh_2017	DF_Bangladesh_2017	DF_Bangladesh_2019	DF_Bangladesh_2016	DF_Myanmar_2016
VI003734B-BR	72.3333333333333	NA	95.5	63	NA	65	63.5	NA	80	42.5	58	54	52	44.5	NA	52	48.5	41.5	NA	48
VI003734B-DG	61.75	62.5	89.5	55	53	68	63.5	76	76	32.5	32.5	45.5	46	38.5	36.5	41	45.5	46	38	33
VI003744AG	66	78.5	95.5	59	NA	74	63.5	NA	79	36.75	53.5	54.5	42	41.5	69	50	47	43	NA	45
VI003755BG	61.75	68.5	94.5	56	54	69	65	80	73	35.25	33	52.5	46	40	40	46.5	46	44.5	33	35
VI003760BG	63.3333333333333	NA	94.5	55.5	55.5	64	72	85	74	36.5	40	45	46	36	43.5	NA	44.5	51	41	37
VI003785BG	66	68	85.5	54.5	53.5	67	66.5	65	74	36.75	30	47.5	38	36.5	38.5	36	45.5	49	35	36
VI003795AG	66	72	98.5	55.5	54.5	68	73	70	73	35.5	43	56	39	41.5	40.5	47	NA	38	37	36
VI003801BG	67.3333333333333	65	94.5	54.5	52.5	65.5	70.5	68	77	33.6666666666667	38	47	47	38	38.5	33.5	43.5	50	41	40
VI003882A-BLM	63.75	65	95.5	59.5	58.5	69	64	75	80	33.5	33	57	52	39	47.5	43	46.5	46	43	48
VI003886B-BR	61.5	66.5	89.5	55.5	58	67.5	60	75	72	33.75	34	51	46	36	28	36.5	46	45	37	34
VI003886BY	65.5	62	93.5	55.5	53	72.5	72	72	74	36.5	33.5	49.5	46	37	39	46	47.5	50.5	41	36
VI003893AG	64.75	79.5	94	60	54	NA	72.5	88	75	38.75	54.5	52	50	42	32	47	47	53	46	38
VI003894B-BLM	67.5	NA	85.5	NA	52	71	63	NA	NA	45.5	58	51.5	45.5	36	37	NA	NA	48.5	NA	NA
VI003907AG	63.75	64.5	85.5	56	59.5	71	65	76	70	34	34	58.5	46	37	47	47.5	NA	42.5	41	34
VI003914AG	62	64	85	59	56.5	68	66.5	81	76	33.5	33	44.5	42.5	40	40	34	47	44	39	35
VI003925B-BLM	68.75	66.5	93.5	55	55.5	72	56	70	73	40.5	36.5	48.5	46	38	31	44	45	34	40	36
VI003927AG	63.6666666666667	75	99.5	65	NA	74.5	69.5	80	77	36.75	49	54	42	42.5	50	47.5	47.5	50.5	47	38
VI003929A-BL	68.5	NA	84.5	58.5	55	63	62	82	74	38.5	56.5	51.5	41	44	35.5	38.5	45	45	47	37
VI003942AG	61.5	66.5	88.5	54	55	74	61	72	76	33.75	37	50	45	40.5	48.5	42	47	41.5	41	35
VI003944B-BR	65	68	96	59	54.5	69	71	67	73	37	37.5	46.5	41	43	43.5	44.5	44	46.5	49	36
VI003947B-BR	64	68	102	55.5	55	NA	68	70	74	36.75	36	53.5	46	39.5	37	43.5	42	46	45	36
VI003948B-BR	59.5	65	90.5	54.5	53.5	69.5	58	76	74	31	33.5	43	40	40	38.5	51	47.5	37	40	36
VI003951AG	66	63.5	94	54	59.5	70	63.5	70	74	34.5	33	45.5	52	38	42	39	45	42	37	35
VI003954BG	65	62	91	59	56	67	59	76	73	37.25	37	44.5	46	40	30	46	46	39	42	38
VI003957AG	63.75	65.5	93	56	57	72	58.5	82	76	34.75	35.5	51.5	52	39	34	39	45	45.5	37	35
VI003958B-BLM	60	66	85	54.5	53.5	68.5	71.5	70	76	38.3333333333333	36.5	46	41	36	38	41	46.5	49.5	36	37
VI003959BG	68	68.5	93.5	63	52	74	69	73	75	38	39	40.5	41	42.5	39	47	43.5	47.5	40	37
VI004006A-GM	62.5	NA	91	58	60	73	63	76	78	34	59	54.5	42	39.5	40	44.5	44	44	50	45
VI004010AG	67.25	70	95	57	59	70.5	61	76	76	39	38	52	42	39.5	58	43	43.5	39	37	36
VI004024AG	69.6666666666667	74	102	55	53.5	72.5	68	82	76	37.5	46.25	52	38.5	39	35.5	47	47	49.5	56	35
VI004044BG	70	65.5	93	57	53	75.5	70	75	76	39.75	38	51	52.5	42	37.5	43	44.5	53	38	39
VI004045A-DGM	67.25	66.5	101	56	56.5	72	69.5	82	76	38.75	39	51	51.5	38	34	42	45.5	48	37	37
VI004048A-DGM	62.25	NA	91	56.5	55	NA	70	81	73	33.5	56	52	41	40	38	NA	47.5	48.5	40	36
VI004069BG	71.5	64	95	57.5	56.5	73	61.5	76	79	40.75	36	50.5	48	40.5	39	46	46	40.5	45	45
VI004096AG	69.5	69.5	85	59.5	57	72.5	NA	87	74	38	42.6666666666667	50	51	41.5	45	49.5	47	NA	58	33
VI004096BG	73	NA	94	66	53	69.5	70	NA	82	44.75	56	56.5	49	48	35	46.5	46	43	NA	51
VI004129A-BLM	65	72	94	58	56	72	64.5	NA	89	40	38	55	52	36	37	41	NA	44	NA	60
VI004138BG	68.75	69.5	93	54.5	54	70.5	72	80	78	38.25	35.5	47.5	42	38.5	43	47.5	46	47.5	35	40
VI004145B-BLM	70.3333333333333	68.5	85	59	NA	68	59.5	NA	76	40.5	38.5	46.5	52	41.5	NA	48	45.5	42.5	NA	38
VI004184AG	61	62.5	94	56.5	59	71	72	82	74	32	36	52.5	51.5	41	59	47.5	NA	39	46	35
VI004243B-BR	63.75	65	85	57	57.5	NA	61.5	NA	NA	33.5	43.5	53	48	38.5	43.5	45	46.5	41	NA	NA
VI004244B-BR	61	62.5	89	62.5	58	NA	68.5	NA	NA	33.25	37.5	51.5	41	43.5	44	47	NA	42	NA	NA
VI004297AG	59.5	66.5	89	59.5	56	71	74.5	NA	74	34.25	36	45	45.5	44	30	NA	47	50.5	NA	36
VI004302AG	63.5	62.5	96	54.5	52	65	64	70	74	34	33	47	42	39.5	39	44	46	47	36	35
VI004307AG	61.25	61	90	58	NA	67.5	57	NA	74	34.25	36.5	48	42	42	49.5	41.5	48	42	NA	35
VI004312AG	61.6666666666667	65.5	93	57	55.5	71	60.5	72	76	35.5	36.5	43	40.5	38	44	NA	46	42.5	34	37
VI004347B-BLM	58.75	68	89	56.5	60	71	59.5	65	76	33	39	45	51.5	39	46	36.5	48	35	34	36
VI004351AG	59.3333333333333	62	90.5	57.5	57.5	71	72	72	80	32.25	32	50	42.5	44	38.5	34	44	49	40	48
VI004423AG	62.25	65	93	55	55	70	58	80	75	35	34.5	49.5	41.5	41	40	32	NA	42.5	40	37
VI004432B-BR	59	63	92	58.5	55	68.5	71	70	73	30.5	32	50	39	43.5	40.5	33.5	47	54	35	35
VI004480AG	61.5	62	91	66	NA	NA	62	70	74	33.75	44	51	49.5	46	NA	34	50	40	35	35
VI004639AG	62	68.5	96	60	56	75	56	70	78	35.5	40	55	46	41.5	47.5	49	43	32	40	44
VI004666AG	56	63.5	91	54	54	68	56	76	76	31	31.5	44	38	37.5	38	NA	46	34	37	36
VI004691AG	59.6666666666667	64	93	58	NA	NA	64	76	74	32.5	37	45	39	41	42	45.5	NA	49.5	44	35
VI004694BG	59.25	62.5	91	58	53.5	65.5	59	78	76	32.5	33	49	41	37	35.5	34	44	40	41	36
VI004710AG	65	67.5	98.5	56	57.5	68	63	65	76	36.25	38.5	54.5	54	44	46	37.5	48	46	38	35
VI004734AG	64	66.5	93	63	52.5	NA	62	77	76	32.25	31.5	47	41	41.5	29	36.5	44	32	58	36
VI004743AG	70.75	82	85	59.5	NA	68	71	87	80	41	54	57	52	42.5	40	51.5	42	51	56	48
VI004789BG	68.75	68.5	100	55	57.5	73.5	64	70	76	41	37.5	57	56.5	38.5	41.5	47	45.5	41	37	38
VI004810BG	67.75	67	92	54	53	65.5	74.5	65	76	35.75	34	49	47.5	35	39	37.5	45.5	50.5	40	36
VI004811BG	68	63.5	103	65	57	76	66	80	76	37.5	40	55	56	43	43.5	49.5	45.5	47.5	53	38
VI004822BG	65.5	64.5	94	56.5	54.5	74	57	82	76	35.75	33	52.5	51.5	37.5	36	48	47.5	40.5	45	38
VI004838AG	68	66.5	85	58	54.5	70	61	80	76	38	33.5	54	52.5	41	41	41.5	43	37	37	37
VI004842AG	70.25	71.5	95	58	55	72	66.5	80	77	40.5	38	50	49	42	36	45	47.5	44.5	41	40
VI004853BG	61	65	95	61.5	56.5	74	56	76	76	33	38	53	48	42	40	48.5	45	38	45	38
VI004871BG	60	63	91	56.5	53	64.5	63	NA	NA	31.25	31.5	47.5	47	38.5	36	36	45	46	NA	NA
VI004877AG	63	76	85	57.5	55.5	74.5	59.5	NA	NA	35.75	47.5	54	46	38	42	47	47.5	33	NA	NA
VI004915BG	60	66.5	85	54	56	68	56	65	74	33.75	33	52	47.5	37.5	42	40.5	48	40	37	36
VI004931AG	61	68	93	61	54	69	64	68	76	35.25	38	52.5	48	43.5	38	46	44	50	38	36
VI004933AG	63.75	66.5	93	55	51.5	74.5	70.5	70	76	36.25	37	39	45.5	39.5	36	44.5	44.5	49	36	35
VI004934AG	61.6666666666667	66.5	95	55.5	54	70.5	69.5	70	76	35.75	36	48.5	47.5	38	39	43.5	46	50.5	36	38
VI004937AG	65.5	65	90	57	55.5	73	70	73	76	37	38	48	46	40.5	43.5	45	43.5	48	40	38
VI004942BG	63.25	72	103	55.5	57.5	74	55	66	75	37	44	47.5	46	39.5	34	46	44	46.5	44	36
VI004954BG	67.6666666666667	65.5	105	53	51.5	65.5	62.5	72	74	36.5	33	50	43	36	36	35.5	44	40.5	40	36
VI004956AG	64.5	65	93	57.5	53.5	68.5	82	65	76	35	37	52	47	37	40	41	45.5	58	38	35
VI004957AG	61.5	64	102	56	57	71.5	62	70	76	33.75	38	54	54	44	41	44	47.5	42	41	35
VI004958BG	58.25	63.5	93.5	57.5	54	73	58.5	65	74	30.75	42.5	46.5	46.5	38	36	46	45	40.5	38	35
VI004965BG	64.6666666666667	67	93	59.5	56.5	73	68.5	73	76	38	35.5	46.5	46	42	46.5	47.5	43.5	50	41	38
VI004968AG	66.75	65	85	60	56	73.5	70	65	76	37.25	39	51.5	54	41.5	45.5	40.5	48.5	49.5	40	38
VI004969AG	61	67.5	105.5	56.5	57	74	71	82	73	33	32.5	41	45.5	41.5	42.5	47	45.5	49	40	34
VI004973B-BLM	68.5	69	85.5	59.5	NA	75.5	67	85	76	40.75	39.5	53	52.5	40	56.5	50.5	44.5	46	56	45
VI005022BG	73.6666666666667	65	102	65.5	62	NA	65	NA	80	45.5	52.5	56	42	46	47	49	49	46	NA	48
VI005024B-BL	73.3333333333333	79.5	85	55	53.5	67	64.5	83	78	42.25	52	47.5	43	35	40.5	NA	48	42.5	45	45
VI005030BY	75.5	79	85.5	58	51.5	71.5	56.5	74	81	45.75	51.5	46.5	45.5	33	38	38.5	47.5	34.5	42	48
VI005041AG	67	65	98.5	56.5	58	64	73	NA	NA	36.5	37	48	46.5	39.5	43	36.5	47	53	NA	NA
VI005066A-GM	62.75	64	84.5	55	53	71	71.5	NA	NA	38.75	38.5	50	40.5	37.5	39	45.5	46	49.5	NA	NA
VI014178BG	76	NA	84.5	59	54.5	NA	57	NA	81	48.5	58	55	54.5	45	41	NA	NA	40	NA	49
