Genotype	DM_India_2017	DM_India_2018	DM_India_2021	DM_India_2018	DM_India_2019	DM_Bangladesh_2017	DM_Bangladesh_2019	DM_Bangladesh_2016	DM_Myanmar_2016	DF_India_2017	DF_India_2018	DF_India_2019	DF_India_2021	DF_India_2018	DF_India_2019	DF_Bangladesh_2017	DF_Bangladesh_2017	DF_Bangladesh_2019	DF_Bangladesh_2016	DF_Myanmar_2016
VI001124AG	67	63.5	103	54.5	53	70	61	65	74	36.75	34.5	47	47.5	37.5	43	37.5	45	40	41	35
VI001126BG	71	NA	95	57	55	NA	61	87	80	47.3333333333333	48	52.5	46.5	41	41	51	48	40	47	35
VI001162AG	68.6666666666667	NA	101.5	60	NA	66	62	NA	79	42	NA	57	49.5	38	NA	48	45	49	NA	45
VI001191BG	64.75	63.5	92.5	60	51.5	66.5	64	67	73	36.25	33.5	50.5	54.5	33	36	40.5	44	51	41	35
VI001211AG	65.25	66.5	94.5	55.5	57	69.5	68	72	75	40.5	38.5	56	53	37.5	37	43	45.5	46	41	38
VI001221AG	62.75	63.5	NA	55	56.5	67.5	71.5	65	75	36.25	35.5	51.5	NA	37	40.5	41	45	47	39	35
VI001244AG	65.5	60.5	98.5	57	57	67.5	71.6	72	75	35.75	33	50.5	48	41	35	45.5	43.5	47.5	45	35
VI001268BG	68.75	66.5	93	54.5	56	68	58.6	65	74	36.5	32	48	47.5	37	40.5	40	46	36.5	34	38
VI001282AG	64.5	68.5	89	59	54	68.5	66.5	70	75	34.75	42	56	42.5	36.5	42.5	45	44.5	51	37	33
VI001284AG	63.25	62	100	54.5	52.5	69.5	65.5	70	73	36	35.5	52.5	42	35.5	36	39.5	48.5	43.5	45	36
VI001339AG	64	67	93	57	59.5	68	69.5	72	76	39.25	36	50	48.5	36	46	43	46.5	50.5	41	35
VI001385AG	66	83.5	NA	55	61	73	71.5	80	79	41.75	51	54	NA	43	40	47	48	45.5	53	45
VI001400AG	69.25	62	100	60.5	59	71	62	80	75	44	42.5	51.5	47	38.5	46	38.5	44.5	47	43	38
VI001403BR	70	63.5	102	61	51	69	62	70	77	42.5	37.5	58	56	41.5	33	49.5	47	48.5	38	40
VI001406BG	63.25	75	92.5	57.5	57.5	70	72.5	80	75	36.75	42.5	53	44	40	44	49.5	48.5	53.5	42	34
VI001408BG	63.5	65	93	65	50	69	77	79	73	31.75	31	43.5	43.5	43	36	47.5	44	53	39	37
VI001411AG	65.5	69	NA	60.5	63	71.5	67.5	77	76	41.75	42	NA	NA	46.5	59	45.5	48.5	37	55	38
VI001412AG	65.25	66.5	97.5	60	53.5	66.5	73	82	76	42	39.5	53	41.5	41.5	37.5	47.5	48	51	46	38
VI001419BG	71.3333333333333	66.5	96.5	67	60	70	73.5	76	76	43.25	33.5	55.5	51.5	34	52	45	48	51	40	35
VI001435AG	63	77.5	98.5	55.5	58	69	57.5	85	76	36.75	40	46	48.5	40.5	37	46	44	31	56	35
VI001448A-BLM	67	82	91	58.5	55	73	71	78	80	38	58	54.5	46	44	40	34	46	51	38	48
VI001471AG	62	70	89	54.5	54	74	66	75	75	36.75	38	42	41.5	36	39.5	47	43	42.5	42	35
VI001482BG	65	67	98	66	55	68	72	76	74	38.75	32	44	47	40	35.5	39	44.5	52	38	38
VI001490AG	61.75	68	94	68	54.5	66	69	70	75	32.5	32	47.5	45.5	42.5	33	38.5	44.5	39	37	35
VI001509AG	62	77	93	60.5	56	71.5	67	80	76	36.25	50	48	48	44.5	33	41	46	46.5	41	36
VI001514AG	67.25	65.5	93	61	60.5	68	72	82	75	39	36.5	54	52.5	42	44	34	47	56	45	35
VI001520A-BLM	70	NA	91	55	53	69	69	NA	80	36.5	56.5	48.5	48.5	45	39	42.5	43.5	49	NA	48
VI001533BG	73.5	82	102.5	55	56	71	NA	NA	80	45.75	58	56.5	55	36	NA	52	45.5	NA	NA	38
VI001535BG	64	65	100	55	55	73	62.5	80	74	37.5	38.5	55.5	52.5	38	41.5	48.5	47	42.5	45	37
VI001539AG	69	76.5	94	59.5	56	70.5	75	78	78	42.25	48	58.5	52	40	42	50	45	53.5	36	40
VI001548AG	66.25	82	95	61	53.5	71	62	82	76	42.25	53.5	54.5	52.5	34	40.5	38	45.5	40.5	47	38
VI001556BG	66	NA	87	58	54	68.5	58	88	80	41.25	33	53.5	52	46.5	37	44.5	43	39	46	48
VI001557BG	62.25	65	97.5	56.5	54.5	71.5	62.5	76	74	37.25	36.5	54	48.5	40.5	42.5	48	45	44	43	38
VI001562AG	66	67	92.5	63.5	59	73	73.5	68	76	39.75	29.5	56	50.5	43	47	48.5	45	49.5	45	38
VI001576BG	67.5	66.5	85	55.5	57	71	67	67	74	37.25	37	50	50	38	36	45.5	46.5	47.5	37	38
VI001579BG	62.5	66.5	93.5	61	54	67.5	64.5	76	75	38.5	32.5	52	54	40.5	39.5	36	46.5	41.5	36	38
VI001605BG	62.25	68	95.5	58	55	65	65	76	73	36	43.5	53.5	45.5	36.5	38.5	37	44	43	44	35
VI001612AG	63.25	75	89.5	61.5	NA	65	68	82	76	38	39	56.5	48	43	NA	46.5	46	44	41	35
VI001628AG	63	66.5	85	55.5	59	72	73	78	76	33.25	32.5	49	52	37.5	NA	48.5	NA	53.5	47	38
VI001651BG	64	70.5	98	56	56	73	61	80	76	39	46	48.5	51	38	43	48.5	46.5	52	45	38
VI001652BG	66.6666666666667	68	101	56	53.5	75.5	74	85	76	42	38	46	46.5	39.5	38	47	44.5	51	37	38
VI001654BG	68	68	95	57.5	53.5	73	66.5	85	76	40.5	38	53.5	48.5	33	40	39	48	45.5	42	35
VI001678BG	63.3333333333333	63.5	90	59	55	65	61	65	76	34.5	33.5	49	49	32	42.5	35	NA	46	37	36
VI001692AG	63.25	66.5	94	55	56.5	71.5	66	68	76	35.75	34.5	54	52.5	38.5	46	44	46	42	41	36
VI001698BG	63.5	64	85	57.5	55.5	73.5	64.5	80	76	36	36.5	47.5	52	34	38.5	48	48	46	38	37
VI001728AG	68.75	NA	94.5	61	54.5	68	58	79	74	39.75	55	56	52	43	38	NA	45.5	47	41	37
VI001733BG	64.3333333333333	63.5	91	55.5	54.5	67	72	70	76	33	32.5	49.5	51	36	37	36	43	51.5	36	36
VI001743BG	72	62.5	94	58.5	60	73	69.5	82	76	39	36	57.5	51	40.5	NA	49	44	48	38	36
VI001756BG	60.5	64	93	58	56.5	71	67.5	76	76	32.75	32.5	53.5	52	41.5	37	47	48.5	39	52	38
VI001762A-GM	65	85	94.5	57	55	69	63	83	74	38.75	58	52	49.5	39.5	45	41.5	43.5	43	41	39
