Genotype	PodPerPlant_India_2018	PodPerPlant_India_2021	PodPerPlant_India_2018	PodPerPlant_India_2019	SW_India_2021	SW_India_2018	SeedPerPod_India_2017	SeedPerPod_India_2018	SeedPerPod_India_2018	SeedPerPod_India_2019	PodPerPlant_Bangladesh_2017	SeedPerPod_Bangladesh_2017	PodPerPlant_Bangladesh_2019	SW_Bangladesh_2019	SeedPerPod_Bangladesh_2019	SW_Bangladesh_2017	PodPerPlant_Bangladesh_2017	PodPerPlant_Bangladesh_2016	SW_Myanmar_2016
VI003212B-BLM	70.7	34.5	9.75	3.33	3.17	2.55	11	11.5	12	7	14	9.9	18	5.95	12.5	2.95	12	14.2	2.8
VI003220AG	69	18	13.95	5	4.84	1.95	12	13	11.35	8.5	NA	NA	28.4	2.955	11	0	0	9.6	4
VI003232AG	35.35	19.5	4.75	9.125	3.23	1.95	11	11	12.45	8	10.2	9.4	25.5	2.99	11.7	2.5	11.5	2.3	3.2
VI003235AG	44.8	26.5	1.75	NA	3.15	1.55	11	14.5	11.5	NA	40	10	22.4	4.74	11.2	3.55	13	9.7	3.4
VI003242AG	50.9	30.5	7.75	5.6	4.14	2.75	11.25	12	10.15	6.5	12.85	8.25	29.1	4.205	10.9	2.55	27	15.6	3.8
VI003251A-BL	63.45	37.5	16.15	6.2	2.64	3.05	10	13	10.3	7	8.4	9.4	25.5	5.05	11.3	2.3	22	9.4	2.8
VI003251A-BLM	106.4	26	13.35	6.3	3.13	2.05	10.75	13	10	7.5	9.3	7.5	26.7	4.395	10.6	2.45	15.5	17.4	3
VI003252BG	NA	12.5	5.35	7.5	1.81	3.25	12	NA	10.45	8	NA	NA	17.5	4.605	10.6	2.3	11	7.5	2.4
VI003255AG	109.8	18	10.35	4.2	3.14	2.45	10.25	11.5	11.35	6.5	8.9	9.4	26.4	4.38	10.3	1.05	4.5	6.1	3.6
VI003276BG	NA	15.5	15.75	8.7	3.57	2.65	11	NA	10	7.5	NA	NA	18.2	4.26	11	2.55	13	4.7	2.8
VI003329AG	56.8	18	6.75	7.035	3.15	2.15	10.5	11.6	11.15	7.5	9.6	10.9	38.8	3.295	10.5	2.885	15.5	7.1	3.4
VI003332AG	76.25	12.5	6.75	5.9	3.23	2.75	10.66666667	12.5	12	7	7.7	8.7	24.8	4.06	10.8	2.4	12.5	20.4	3.2
VI003337BG	47.3	24	NA	8.4	2.755	NA	12.66666667	12	10	8	11.6	8.7	21.8	3.985	10.6	2.55	5	12.7	3.6
VI003364AG	87.65	19.5	11.05	4.2	5.3	4.45	13	12.5	11.5	7	8.6	9.3	21.2	5.465	10.9	3.1	11.5	14	4.2
VI003379BG	67.85	29.5	1.75	7.2	4.06	4.05	10.75	13	11.15	7.5	NA	NA	24	4.35	10.4	2.5	15.5	7.9	3.6
VI003382BG	87.15	17.5	14.35	3.65	3.5	2.75	10.75	11.5	10.15	6	15.3	8.8	24.5	3.445	11.5	2.25	13	9.4	3.2
VI003407AG	76.2	20	9.25	4.1	3.15	2.25	11.5	11.5	11.95	7.5	7.7	9	17.2	3.47	11.4	2.2	15.5	7.3	2.6
VI003413BG	55.4	14.5	6.2	4.9	2.97	3.1	10.75	12.5	11.65	7.5	10.075	7.2	20.2	3.41	11.2	2.9	16	4.6	3.2
VI003440AG	100	31.5	12.45	2.33	4.67	2.9	10.75	14.5	10.5	8	9.5	9.7	26.3	5.47	11.8	2.3	12	16.7	3.6
VI003455AG	46.1	22	8.45	6.6	4.01	2.8	11.5	13	7.5	7	12.8	8.9	19.4	4.975	11	2.75	11.5	34	3.6
VI003456AG	43.8	14	2.45	3.4	3.03	2.5	12	10	10.8	8	13.3	7.2	28.6	4.16	11.4	NA	NA	8.2	3.2
VI003465BG	95.9	22	10.05	1	2.81	2.5	10.75	14	12.3	7.5	17.1	10.6	20	3.88	11.6	2.85	9	7.2	2.8
VI003470BG	72.4	31	19.75	4.6	2.03	2.1	12	13.1	10.65	6.5	7.3	8.2	20.1	3.44	11.1	0	0	15.6	5.2
VI003480BG	69.1	18.5	9.85	6	4.65	4	11.25	13	12	7.5	10.55	9.9	NA	NA	NA	3.1	15.5	13.8	5.4
VI003490AG	76.6	30.5	12.55	5.665	2.81	2.5	10.33333333	11.5	9.8	7	11.95	6.95	31.5	3.51	12.3	2.85	13.5	19.4	3
VI003493BG	85.8	17	2.45	1	2.81	1.85	10.75	12	9.8	8	12	8.8	14.9	4.22	8.055	0	0	4.3	2.6
VI003514BG	43.6	48	13.9	3.8	3.13	2.5	11.25	14.5	10.95	8	7.5	10.9	22.6	2.56	10.9	0	0	NA	2.6
VI003517BG	30.7	29	3.6	4.5	2.88	4.2	12.25	10	10.5	7.5	9.67	9.8	32	2.95	10.6	2.45	10	2.6	3
VI003534AG	46.65	26.5	0.55	NA	3.85	2.9	11.75	14	9.5	NA	21.1	9.4	21.6	3.435	11.8	2.6	10.5	28	3.4
VI003534BG	68	16	22.6	6.9	3.65	NA	12	13.75	11.5	8.5	10.75	8.1	19.3	4.275	11.4	1.4	4	1.9	3.6
VI003548AG	NA	23.5	9.2	7.9	2.34	2.2	11.5	NA	11.15	7.5	15.5	10.1	13.8	NA	6.58	NA	NA	NA	NA
VI003554AG	36.1	29.5	2.6	2	3.14	1.4	11.33333333	12	11.65	5	11.235	11.9	10.32	4.35	7.985	2.8	16.5	NA	3.4
VI003560BG	NA	22.5	5.75	9.325	3.66	3.35	14	NA	12.3	8	9.5	9.25	20.4	2.56	11.2	2.6	15	NA	4.4
VI003563A-BR	102.4	27.5	14.6	6.6	3.02	3	10.75	14	8.65	7.5	8.8	10.4	20.4	3.595	10.6	1.9	26.5	30.8	3.6
VI003577AG	74.4	21.5	3	4.1	2.91	1.5	10.5	11	9.15	6.5	6	7.9	25.4	4.475	12.2	1.95	5	10	3.2
VI003602AG	68.6	18.5	8.75	5.9	3.98	2.9	12	12.5	8.15	8.5	6	9.8	20.2	3.365	11.1	0	0	4.3	4.2
VI003642AG	85.3	37	6.4	4.2	3.945	0.2	11.66666667	10	11.8	7.5	8.4	9.8	19.8	3.56	11	2.55	13.5	13.4	3.6
VI003648BG	69.65	17.5	3.7	4.4	3.865	3.7	11	12.75	10.95	7	15	9.6	22.6	4.89	12.4	2.35	12	15.6	3.6
VI003658BG	NA	47	0.7	NA	3.525	3.3	10.5	NA	11	NA	16.565	11.7	26	3.54	11.2	2.65	12	NA	3.4
VI003664AG	116.45	23	1.85	6.4	3.835	4.1	12.33333333	13.65	9.65	8.5	14	10.3	19.5	3.99	12.3	3	18	11.4	4
VI003678BG	NA	28.5	15.75	NA	3.585	2.1	9.666666667	NA	10.65	6	15	8	18	3.45	11.6	0	0	0	3.2
VI003685AG	78.9	16.5	12.15	4.5	3.595	3.5	13	11.5	12.5	7.5	10.6	8.4	32.4	4.18	11.5	0	0	8.6	3.2
VI003699B-BG	NA	20	7.6	2.9	2.535	2.5	12.5	NA	7.3	7.5	7	10.2	22.2	4.53	11.4	0	0	NA	2.4
VI003720BG	NA	29	6.6	7	2.395	2.65	11.33333333	NA	8.65	6	10.3	8.3	10.4	3.08	10.6	2.05	19.5	27	2.8
VI003725BG	61.6	34.5	4.45	7.4	3.415	4	12	13.1	8.3	7	8.8	9.2	16.5	4.6	10.6	2.4	11	11.3	4
VI003733BG	50.9	35	3.3	4	3.305	2.6	11.66666667	13	8.5	7	NA	NA	23	3.06	11.9	2.55	21	1.5	3.2
VI003734B-BR	NA	43.5	5.7	NA	3.775	2.9	10	NA	12.95	NA	NA	NA	34.5	3.835	11.5	3.15	13.5	NA	2.4
VI003734B-DG	81.5	30.5	19.15	7.8	4.265	3.55	11.5	11	10.5	7.5	10.9	9.2	19.1	5.26	11	2.5	13.5	25.4	3.8
VI003744AG	61.5	24.5	0.3	NA	3.185	2.85	10	12	11.15	NA	14.3	8.35	16.3	4.385	12.7	2	6.5	NA	3.8
VI003755BG	56.7	30	3	4.8	4.015	2.7	11	11	12	5.5	11.3	10.4	14.8	3.695	11.3	2.9	10.5	19	4.2
VI003760BG	NA	19.5	13.3	3.4	4.365	4	11	NA	11.15	6	14.8	9.7	26.1	3.64	11	2.2	8	8.2	3.6
VI003785BG	92.4	35	12.3	2.7	3.645	2.8	11	16	13.15	8	17.1	10.7	28.5	4.205	11.1	3.1	16	17.8	3.2
VI003795AG	39.7	24.5	15	4.2	3.535	3.2	10.75	12	10.65	7.5	11.2	8.2	14.34	4.12	11.2	0	0	28.5	4
VI003801BG	110	24.5	4.7	2.8	4.825	4.4	11.5	14.5	12	8	7.15	10.6	22.8	3.32	12.4	2.65	21	20.2	4.8
VI003882A-BLM	57.9	17	22.8	5	5.145	3.3	12.25	11.5	11.65	8	21.66	10.4	19	3.87	11.8	2.3	11	12.3	3.8
VI003886B-BR	70	43	9.7	6.325	3.575	3.4	12	12	11.3	5.5	8.2	9.6	11.5	2.945	6.31	2.95	15	3.2	4
VI003886BY	80.8	48	6.45	8.4	3.775	4.05	11.25	13.5	9.85	7	13.75	9.5	23	3.15	11.2	2.3	12.5	21.4	4
VI003893AG	29.25	44	5.7	6	4.045	2.1	11.75	12.5	12.5	7	NA	NA	22.9	3.575	10.8	0	0	2.9	4.4
VI003894B-BLM	NA	12.5	10.6	6.25	2.88	3	12	NA	11	6	NA	NA	24.4	3.43	11.2	0	0	NA	4
VI003907AG	68.85	26	20.2	5.65	3.695	2.5	12	12	9.3	6.5	7.6	11.2	18.1	3.315	11.1	0	0	9.7	3.4
VI003914AG	94	25	0.4	10.3	3.685	0.4	12	11.5	11.7	6	9.4	9.5	22.9	3.435	11.1	2.45	13	12.6	3.2
VI003925B-BLM	101.6	32	7.45	5.7	2.915	3.15	11.5	11.5	11.3	6	9.2	10.1	21.9	3.49	11.2	2.4	14	15.6	2.8
VI003927AG	84.4	39	6.8	5	3.505	2.7	11	13.5	11.8	4.5	18	9	28.7	3.665	12.1	2.6	10	5.6	3
VI003929A-BL	NA	27	7.2	8.9	2.605	2.2	7	NA	12.45	NA	16.7	11.3	25.1	4.195	10.6	3.1	10	5.6	2.6
VI003942AG	68	43	8.6	3.5	2.855	3.3	10.75	9	8.95	6.5	7.1	9.3	25.3	4.415	12.8	1.9	8.5	4.9	2.8
VI003944B-BR	81	13	10.1	4.3	3.955	4.25	10.75	12	9.95	6.5	9.4	9	17.6	3.605	11.1	2.75	14.5	7.6	4
VI003947B-BR	44.3	32	8.15	3	4.185	0.3	10.5	13	12	5	NA	NA	18.4	3.53	11.2	0	0	2.1	3.8
VI003948B-BR	70.55	18.5	8.8	4.4	3.625	3.2	11.5	13.5	11.8	7	9.25	9.1	22.7	3.835	11.5	2.9	13.5	4.4	4
VI003951AG	66.5	25.5	11.2	6.425	4.345	4	12	17	6.95	7.5	6.165	9.1	23.4	5.11	11.5	2.7	7.5	12.2	3.8
VI003954BG	69.1	19	6.5	2.235	4.065	3.4	11	10.5	10.65	7.5	8.95	10.8	25.6	4.71	10.7	2.4	15	2.1	3.6
VI003957AG	75.9	43	2.8	7.7	3.385	2.5	10.5	13.5	7.95	8	7.2	8.2	18.4	4.06	10.8	2.8	20	24	2.6
VI003958B-BLM	73.55	19.5	6.2	7.4	3.285	3.5	12	14	11.65	6.5	5.5	10.9	27.1	3	11.9	2.45	10	11.6	2.8
VI003959BG	114	26	6.85	8.5	3.285	3.25	12.5	13	11.65	7.5	11	10.1	30	5	11.8	2.35	10.5	4.9	3
VI004006A-GM	NA	32	5.8	21	3.085	2.1	11.25	NA	12.15	7	14.2	9	39.2	4.065	11.3	2.1	6.5	3.5	2.8
VI004010AG	84.2	30.5	5.2	2.5	4.075	4.1	11.75	13	8.65	8	11.5	9.9	22	4.86	10.7	2	13.5	30	4.4
VI004024AG	81.375	31	6	11.9	4.055	2.8	11	13	12	8	12.7	9.5	20.9	4.745	11	2.4	17	12.7	4
VI004044BG	81.7	22.5	6.2	7.8	3.955	3.7	11.5	12	12.8	7	7.2	8.9	22	3.615	12	2.5	12.5	14.2	3.6
VI004045A-DGM	112.3	18	30.75	5.2	2.875	2.35	11.75	13.5	11	6	12.9	9.7	20.6	3.62	11	2.45	15	26.2	3
VI004048A-DGM	43.8	27.5	22.4	4.9	3.175	2.3	12.5	10	11.95	8	NA	NA	23.8	4.11	10.9	2.2	8.5	11.6	3
VI004069BG	61	32.5	11.4	3.85	3.965	4.1	10.5	11	10.8	5.5	7.8	9.5	23.4	5.085	11	1.8	4.5	22.6	3.8
VI004096AG	91.25	20.5	5.1	6.75	3.005	2.3	12	13.5	10.65	7	8.815	9.6	NA	NA	NA	2.05	12.5	11.8	3.4
VI004096BG	NA	32.5	1.4	5.1	3.195	2	12	NA	9.3	8	25	10.2	16.6	3.435	12.9	2.2	13.5	NA	3.6
VI004129A-BLM	103.6	12	13.05	7.2	2.445	2.25	9	12	8	9	10	7.6	15.9	3.55	11.4	0	0	NA	2.4
VI004138BG	99.15	27.5	3.95	5	4.185	2.95	12.25	13.5	10.8	8.5	9.1	9	23	3.825	10.9	3.1	10.5	12.6	3.6
VI004145B-BLM	41.95	23	6.45	NA	3.855	3.2	11.66666667	11.5	10.35	NA	13.6	7	23.6	4.04	10.7	2.1	14.5	1.2	3.4
VI004184AG	103.4	42	5.15	NA	4.115	2.65	10.5	13	11.15	NA	6.5	8.665	30.3	3.025	11	0	0	0.66	4.4
VI004243B-BR	47.35	42.5	5.45	4.4	2.525	3.35	10.75	12	10.65	6	8.33	9.8	20.5	3.655	10.9	NA	NA	NA	NA
VI004244B-BR	45.4	22	7.2	2.835	2.885	3	10.66666667	13	8.8	6.5	NA	NA	20.8	2.97	11.4	NA	NA	NA	NA
VI004297AG	90.9	22	5.45	4.33	3.475	3.35	10.75	12	10.65	7	NA	NA	19.5	3.465	11.7	0	0	2.1	3.4
VI004302AG	61.25	19.5	19.5	5.765	3.045	3	10.25	13.5	11	6.5	6	10.6	26	4.18	12.6	2.9	14.5	0.6	3
VI004307AG	69.6	37.5	19.1	5.4	3.245	3.15	10.75	13	11.5	6	6.925	8.5	20	4.265	11.1	0	0	9.4	3.2
VI004312AG	65.85	23.5	8.75	5.435	3.125	2.45	10.33333333	11.8	11.35	5.5	7.6	5.5	22.9	3.6	11.1	2.1	11.5	4.1	3.4
VI004347B-BLM	84.5	28.5	7.7	5.6	3.315	2.75	11.5	9.8	9.95	5	8.085	7.1	25.2	3.535	11	0	0	1.9	2.4
VI004351AG	81.5	24	10.95	4.21	3.385	2.45	11.66666667	11	10.15	6	10.4	9.6	11.8	3.01	12	3.1	9	2.2	3
VI004423AG	61.15	16	7.75	4.65	3.655	3.05	10.75	11	9.8	8.5	NA	NA	20.5	3.55	10.6	0	0	0.9	3
VI004432B-BR	83.7	19	6.7	7	3.055	2.85	11.5	11.5	7.95	7.5	5.635	8.8	10.4	3.34	9.4	2.55	14	3.8	3.2
VI004480AG	60.4	33.5	9.15	NA	3.845	2.25	11.75	13	10.95	NA	11	8.8	10.6	2.01	8.6	0	0	2.2	2.6
VI004639AG	57.5	17	8.45	2.1	4.095	2.65	11.5	12.5	10.15	6.5	12.2	10.6	26	4.81	11.4	2.85	15	8.4	3.4
VI004666AG	60.4	26	3.45	4.2	3	3.05	9	12	11.45	5	NA	NA	20.6	3.625	11.3	0	0	7.4	3.2
VI004691AG	46.9	43.5	0.9	3.5	4.325	2.6	11.25	12	5.65	6	9.6	10	19.1	3.63	11.6	0	0	4.1	3.2
VI004694BG	43.4	36.5	13.15	5.625	4.625	3.35	11.5	12	9.35	7.5	8.425	10.4	15	3.465	10.9	2.8	8.5	5.8	3.6
VI004710AG	59.45	6.5	4.85	3.3	3.225	2.75	11	12	11.5	8	7.8	8.8	23.1	4.105	11.5	2.65	10.5	5.4	4
VI004734AG	69.25	53.5	3.85	5.2	3.875	2.85	10	13.5	8.95	7.5	NA	NA	20.8	4.59	12.4	3.15	15.5	21.8	3.4
VI004743AG	62.8	15.5	3.3	3	3.155	1.65	11.5	12	10.3	6.5	8.6	9.2	22.4	5.19	14.8	0	0	3.1	3.2
VI004789BG	60.25	30	12.55	5.25	3.345	NA	11.5	12.5	12.15	7	8.1	8.7	35.8	3.33	11.2	2.1	9.5	31.6	4.2
VI004810BG	72.2	24	7.05	7.9	3.825	3.95	12.25	12	10.65	6	6.4	8.7	25.6	3.035	11	2.6	11.5	23.4	3.2
VI004811BG	89.4	15	20.75	5	2.725	3.25	10.75	12	11.5	6.5	15.6	7.4	35.6	2.695	10.3	2.85	11.5	23	2.8
VI004822BG	117.5	37.5	7.05	5.2	2.295	2	10.75	13	12	7.5	16	10.3	34.8	3.385	9	2.4	12.5	18.2	2.8
VI004838AG	89.4	25.5	8.6	5.4	3.275	2.6	11.75	15	10.95	7	9.3	10	33.6	4.535	11.2	2.8	23.5	9.3	3.2
VI004842AG	77.05	18	10.9	1.67	3.875	2.7	11.33333333	12	10.85	7	13.7	10.6	20.3	3.3	11.5	2.55	12.5	4.9	3.4
VI004853BG	110.4	28.5	10.7	6.8	3.375	3	12	12.5	11	7.5	12.9	10.5	13.4	4.92	11.2	2.55	13.5	26.4	3.6
VI004871BG	108.9	23	15.95	7.8	3.265	3.1	10	12	7.3	9	22.3	9.6	25.9	3.5	11.2	NA	NA	NA	NA
VI004877AG	70.2	13	12.55	6.8	3.215	2.7	11.5	11	12.3	7	14.6	10	29.3	3.805	10.8	NA	NA	NA	NA
VI004915BG	78.2	16	8.55	2.965	3.925	4.6	12.25	14	10.5	6.5	10.2	9.2	23.1	4.49	10.9	0	0	12.6	5
VI004931AG	72.2	11	12.35	6.4	4.025	2.95	12	15	11.8	6	10.5	10.4	16	2.88	12	2.7	16	21.4	3.4
VI004933AG	125	41	12.55	7.2	4.115	2.85	11.5	11.5	11	7.5	8	9.865	21.8	3.69	11.1	2.4	14	12.8	3.2
VI004934AG	106.7	19	0.7	5.2	3.805	3.25	12.5	13.5	11.3	7	11.3	9	33.3	4.28	11.2	2.45	13	7.2	3.4
VI004937AG	49.4	35.5	8.75	5.725	3.235	3.25	11.5	14	9.3	7.5	17.6	10.6	22.5	3.905	11.3	2.4	11	42.6	3.4
VI004942BG	62.95	43	13.75	5.2	4.705	4	12.25	12.5	11.35	8	16.6	9.8	23.7	3.94	12.1	3.15	17.5	14.8	4.4
VI004954BG	57.9	43.5	8.25	4.3	4.025	4.65	10.33333333	13.5	9.3	7	8.2	7.4	27.1	4.565	11	2.4	14	12.2	4.4
VI004956AG	58.3	23.5	12.15	5	3.605	2.95	13	13	10.5	6.5	8.9	9.9	27	5.31	10.8	2.3	12.5	16.8	3.2
VI004957AG	78.8	40	14.45	3.2	3.585	4.05	12	13	11.15	7	11.25	9.8	21.5	3.53	11.8	3.05	13	28	3.8
VI004958BG	53.1	15	12.85	3.9	5.415	4.25	12.75	13.8	12.15	7.5	8	10.3	18.3	6.015	12.4	2.55	17.5	13	4.8
VI004965BG	48.4	39	18.75	1.75	3.795	3.65	12.5	13	11	7.5	9.1	9.4	21.2	3.44	11.3	2.55	24.5	33.8	3.8
VI004968AG	76.05	37	9.4	6.4	3.565	3.7	10.5	13	11.8	7	9.825	10	33.8	3.735	11.5	2.96	14.5	12.4	3.6
VI004969AG	78.75	18	6.05	5.775	3.745	4	10.75	13	12.65	7	9.7	9.2	14.9	3.85	11.4	2.65	16.5	14.6	3.6
VI004973B-BLM	102.7	50.5	23.45	3.2	3.185	2.95	12.25	13	12.15	7	9.5	9	29.6	3.22	12	2.3	15	21.4	3.2
VI005022BG	45	19	0.55	6.135	3.435	3.8	12.33333333	10	7.5	8	30	10	12.6	4.11	10.8	2.9	16.5	NA	3.8
VI005024B-BL	81.5	13.5	NA	7.6	3.15	NA	9.333333333	8	9.7	7.5	7.45	6.2	11.1	3.035	11.3	2.7	15.5	0.55	5.6
VI005030BY	44.85	16.5	7.7	6.4	3.11	3.2	11.33333333	12	8.5	7	8.6	8.4	19.9	2.65	10.6	2.65	6	7.9	4
VI005041AG	46	19.5	16.4	4.7	6.925	6.1	11.75	13.4	13	7.5	10.9	10.8	13.6	2.77	11.6	NA	NA	NA	NA
VI005066A-GM	81.2	17.5	7.25	4.4	2.995	3.25	10.5	12.5	10.95	7	15.3	8.5	34	3.315	9.6	NA	NA	NA	NA
VI014178BG	NA	17	11.85	6.6	4.295	5	11	NA	9.5	7.5	NA	NA	12.5	3.66	10.6	0	0	NA	4.4
